912828KR Govt,912828KR0,2.625,4/30/16,102.234375,0.2643862,4/30/15,10/31/15,2,0.264386,0.94196658,5/19/15
912828C8 Govt,912828C81,0.375,4/30/16,100.1113281,0.2573804,4/30/15,10/31/15,2,0.25738,0.947434368,5/19/15
912828VC Govt,912828VC1,0.25,5/15/16,99.98632813,0.2638475,5/15/15,11/15/15,2,0.263847,0.988506172,5/19/15
912828FF Govt,912828FF2,5.125,5/15/16,104.7851563,0.2772332,5/15/15,11/15/15,2,0.277233,0.976926081,5/19/15
912810DW Govt,912810DW5,7.25,5/15/16,106.890625,0.2696136,5/15/15,11/15/15,2,0.269614,0.972208657,5/19/15
912828KW Govt,912828KW9,3.25,5/31/16,103.0546875,0.2862433,11/30/14,5/31/15,3,0.286243,1.009671157,5/19/15
912828QP Govt,912828QP8,1.75,5/31/16,101.5019531,0.2926806,11/30/14,5/31/15,3,0.292681,1.02014702,5/19/15
912828WM Govt,912828WM8,0.375,5/31/16,100.09375,0.2840364,11/30/14,5/31/15,3,0.284036,1.030163663,5/19/15
912828VG Govt,912828VG2,0.5,6/15/16,100.2089844,0.3049572,12/15/14,6/15/15,3,0.304957,1.070444317,5/19/15
912828WQ Govt,912828WQ9,0.5,6/30/16,100.2070313,0.3139896,12/31/14,6/30/15,3,0.31399,1.112290313,5/19/15
912828KZ Govt,912828KZ2,3.25,6/30/16,103.2695313,0.3127613,12/31/14,6/30/15,3,0.312761,1.092721225,5/19/15
912828QR Govt,912828QR4,1.5,6/30/16,101.3046875,0.327753,12/31/14,6/30/15,3,0.327753,1.104989982,5/19/15
912828VL Govt,912828VL1,0.625,7/15/16,100.3417969,0.3288475,1/15/15,7/15/15,3,0.328847,1.152801937,5/19/15
912828LD Govt,912828LD0,3.25,7/31/16,103.4824219,0.343238,1/31/15,7/31/15,3,0.343238,1.178350839,5/19/15
912828QX Govt,912828QX1,1.5,7/31/16,101.3769531,0.3505706,1/31/15,7/31/15,3,0.350571,1.190623274,5/19/15
912828WX Govt,912828WX4,0.5,7/31/16,100.1914063,0.3402109,1/31/15,7/31/15,3,0.340211,1.197924862,5/19/15
912828FQ Govt,912828FQ8,4.875,8/15/16,105.5996094,0.3560057,2/15/15,8/15/15,3,0.356006,1.208925864,5/19/15
912828VR Govt,912828VR8,0.625,8/15/16,100.3261719,0.3617283,2/15/15,8/15/15,3,0.361728,1.238436029,5/19/15
912828LL Govt,912828LL2,3,8/31/16,103.3515625,0.3778408,2/28/15,8/31/15,3,0.377841,1.261011508,5/19/15
912828RF Govt,912828RF9,1,8/31/16,100.7929688,0.3795694,2/28/15,8/31/15,3,0.379569,1.275196351,5/19/15
912828D6 Govt,912828D64,0.5,8/31/16,100.15625,0.3777223,2/28/15,8/31/15,3,0.377722,1.278874939,5/19/15
912828VW Govt,912828VW7,0.875,9/15/16,100.6484375,0.3832249,3/15/15,9/15/15,3,0.383225,1.316871542,5/19/15
912828LP Govt,912828LP3,3,9/30/16,103.5546875,0.388326,3/31/15,9/30/15,3,0.388326,1.344521195,5/19/15
912828RJ Govt,912828RJ1,1,9/30/16,100.8378906,0.3843939,3/31/15,9/30/15,3,0.384394,1.358707579,5/19/15
912828F4 Govt,912828F47,0.5,9/30/16,100.1425781,0.3952122,3/31/15,9/30/15,3,0.395212,1.362385921,5/19/15
912828WA Govt,912828WA4,0.625,10/15/16,100.3066406,0.406198,4/15/15,10/15/15,3,0.406198,1.402444218,5/19/15
912828LU Govt,912828LU2,3.125,10/31/16,103.921875,0.4063853,4/30/15,10/31/15,3,0.406385,1.425907671,5/19/15
912828RM Govt,912828RM4,1,10/31/16,100.8398438,0.4177506,4/30/15,10/31/15,3,0.417751,1.440954887,5/19/15
912828F8 Govt,912828F88,0.375,10/31/16,99.93945313,0.4169609,4/30/15,10/31/15,3,0.416961,1.445563104,5/19/15
912828FY Govt,912828FY1,4.625,11/15/16,106.2460938,0.4132572,5/15/15,11/15/15,3,0.413257,1.456585829,5/19/15
912810DX Govt,912810DX3,7.5,11/15/16,110.5371094,0.3960419,5/15/15,11/15/15,3,0.396042,1.438411796,5/19/15
912828WF Govt,912828WF3,0.625,11/15/16,100.2890625,0.4300494,5/15/15,11/15/15,3,0.430049,1.484469908,5/19/15
912828MA Govt,912828MA5,2.75,11/30/16,103.5429688,0.4286784,11/30/14,5/31/15,4,0.428678,1.493678226,5/19/15
912828RU Govt,912828RU6,0.875,11/30/16,100.6621094,0.4411287,11/30/14,5/31/15,4,0.441129,1.520002008,5/19/15
912828G4 Govt,912828G46,0.5,11/30/16,100.0917969,0.4398392,11/30/14,5/31/15,4,0.439839,1.525503364,5/19/15
912828A5 Govt,912828A59,0.625,12/15/16,100.2675781,0.4541903,12/15/14,6/15/15,4,0.45419,1.564867806,5/19/15
912828MD Govt,912828MD9,3.25,12/31/16,104.4882813,0.4589327,12/31/14,6/30/15,4,0.458933,1.570011603,5/19/15
912828RX Govt,912828RX0,0.875,12/31/16,100.6835938,0.4499201,12/31/14,6/30/15,4,0.44992,1.603055761,5/19/15
912828H2 Govt,912828H29,0.625,12/31/16,100.2695313,0.4573658,12/31/14,6/30/15,4,0.457366,1.606713739,5/19/15
912828A9 Govt,912828A91,0.75,1/15/17,100.4550781,0.473973,1/15/15,7/15/15,4,0.473973,1.646314002,5/19/15
912828SC Govt,912828SC5,0.875,1/31/17,100.6484375,0.4917963,1/31/15,7/31/15,4,0.491796,1.688684866,5/19/15
912828H7 Govt,912828H78,0.5,1/31/17,100.0253906,0.4849561,1/31/15,7/31/15,4,0.484956,1.694189892,5/19/15
912828MK Govt,912828MK3,3.125,1/31/17,104.4765625,0.4801094,1/31/15,7/31/15,4,0.480109,1.65730164,5/19/15
912828GH Govt,912828GH7,4.625,2/15/17,107.1679688,0.4897709,2/15/15,8/15/15,4,0.489771,1.679249124,5/19/15
912828B7 Govt,912828B74,0.625,2/15/17,100.2148438,0.5009961,2/15/15,8/15/15,4,0.500996,1.73378087,5/19/15
912828B7 Govt,912828B74,0.625,2/15/17,100.2148438,0.5009961,2/15/15,8/15/15,4,0.500996,1.73378087,5/19/15
912828J3 Govt,912828J35,0.5,2/28/17,99.98828125,0.5065681,2/28/15,8/31/15,4,0.506568,1.775139261,5/19/15
912828MS Govt,912828MS6,3,2/28/17,104.4179688,0.5070074,2/28/15,8/31/15,4,0.507007,1.739913458,5/19/15
